address, description, register, mode, manip_1_bit, manip_8_bit, manip_16_bit, initial_value
18000000, CAN message event pointer 000, M_EVT000,R/W,,x,,Undefined
18000001, CAN message event pointer 001, M_EVT001,R/W,,x,,Undefined
18000002, CAN message event pointer 002, M_EVT002,R/W,,x,,Undefined
18000003, CAN message event pointer 003, M_EVT003,R/W,,x,,Undefined
18000004, CAN message data length register 00, M_DLC00,R/W,,x,,Undefined
18000005, CAN message control register 00, M_CTRL00,R/W,,x,,Undefined
18000006, CAN message time stamp register 00, M_TIME00,R/W,,,x,Undefined
18000008, CAN message data register 000, M_DATA000,R/W,,x,x,Undefined
18000009, CAN message data register 001, M_DATA001,R/W,,x,,Undefined
1800000A, CAN message data register 002, M_DATA002,R/W,,x,,Undefined
1800000B, CAN message data register 003, M_DATA003,R/W,,x,,Undefined
1800000C, CAN message data register 004, M_DATA004,R/W,,x,,Undefined
1800000D, CAN message data register 005, M_DATA005,R/W,,x,,Undefined
1800000E, CAN message data register 006, M_DATA006,R/W,,x,,Undefined
1800000F, CAN message data register 007, M_DATA007,R/W,,x,,Undefined
18000010, CAN message ID register L00, M_IDL00,R/W,,,x,Undefined
18000012, CAN message ID register H00, M_IDH00,R/W,,,x,Undefined
18000014, CAN message configuration register 00, M_CONF00,R/W,,x,,Undefined
18000015, CAN message status register 00, M_STAT00,R,,x,,Undefined
18000016, CAN status set/cancel register 00, SC_STAT00,W,,,x,0000H
18000020, CAN message event pointer 010, M_EVT010,R/W,,x,,Undefined
18000021, CAN message event pointer 011, M_EVT011,R/W,,x,,Undefined
18000022, CAN message event pointer 012, M_EVT012,R/W,,x,,Undefined
18000023, CAN message event pointer 013, M_EVT013,R/W,,x,,Undefined
18000024, CAN message data length register 01, M_DLC01,R/W,,x,,Undefined
18000025, CAN message control register 01, M_CTRL01,R/W,,x,,Undefined
18000026, CAN message time stamp register 01, M_TIME01,R/W,,,x,Undefined
18000028, CAN message data register 010, M_DATA010,R/W,,x,,Undefined
18000029, CAN message data register 011, M_DATA011,R/W,,x,,Undefined
1800002A, CAN message data register 012, M_DATA012,R/W,,x,,Undefined
1800002B, CAN message data register 013, M_DATA013,R/W,,x,,Undefined
1800002C, CAN message data register 014, M_DATA014,R/W,,x,,Undefined
1800002D, CAN message data register 015, M_DATA015,R/W,,x,,Undefined
1800002E, CAN message data register 016, M_DATA016,R/W,,x,,Undefined
1800002F, CAN message data register 017, M_DATA017,R/W,,x,,Undefined
18000030, CAN message ID register L01, M_IDL01,R/W,,,x,Undefined
18000032, CAN message ID register H01, M_IDH01,R/W,,,x,Undefined
18000034, CAN message configuration register 01, M_CONF01,R/W,,x,,Undefined
18000035, CAN message status register 01, M_STAT01,R,,x,,Undefined
18000036, CAN status set/cancel register 01, SC_STAT01,W,,,x,0000H
18000040, CAN message event pointer 020, M_EVT020,R/W,,x,,Undefined
18000041, CAN message event pointer 021, M_EVT021,R/W,,x,,Undefined
18000042, CAN message event pointer 022, M_EVT022,R/W,,x,,Undefined
18000043, CAN message event pointer 023, M_EVT023,R/W,,x,,Undefined
18000044, CAN message data length register 02,M_DLC02,R/W,,x,,Undefined
18000045, CAN message control register 02,M_CTRL02,R/W,,x,,Undefined
18000046, CAN message time stamp register 02,M_TIME02,R/W,,,x,Undefined
18000048, CAN message data register 020,M_DATA020,R/W,,x,,Undefined
18000049, CAN message data register 021,M_DATA021,R/W,,x,,Undefined
1800004A, CAN message data register 022,M_DATA022,R/W,,x,,Undefined
1800004B, CAN message data register 023,M_DATA023,R/W,,x,,Undefined
1800004C, CAN message data register 024,M_DATA024,R/W,,x,,Undefined
1800004D, CAN message data register 025,M_DATA025,R/W,,x,,Undefined
1800004E, CAN message data register 026,M_DATA026,R/W,,x,,Undefined
1800004F, CAN message data register 027,M_DATA027,R/W,,x,,Undefined
18000050, CAN message ID register L02,M_IDL02,R/W,,,x,Undefined
18000052, CAN message ID register H02,M_IDH02,R/W,,,x,Undefined
18000054, CAN message configuration register 02,M_CONF02,R/W,,x,,Undefined
18000055, CAN message status register 02,M_STAT02,R,,x,,Undefined
18000056, CAN status set/cancel register 02,SC_STAT02,W,,,x,0000H
18000060, CAN message event pointer 030,M_EVT030,R/W,,x,,Undefined
18000061, CAN message event pointer 031,M_EVT031,R/W,,x,,Undefined
18000062, CAN message event pointer 032,M_EVT032,R/W,,x,,Undefined
18000063, CAN message event pointer 033,M_EVT033,R/W,,x,,Undefined
18000064, CAN message data length register 03,M_DLC03,R/W,,x,,Undefined
18000065, CAN message control register 03,M_CTRL03,R/W,,x,,Undefined
18000066, CAN message time stamp register 03,M_TIME03,R/W,,,x,Undefined
18000068, CAN message data register 030,M_DATA030,R/W,,x,,Undefined
18000069, CAN message data register 031,M_DATA031,R/W,,x,,Undefined
1800006A, CAN message data register 032,M_DATA032,R/W,,x,,Undefined
1800006B, CAN message data register 033,M_DATA033,R/W,,x,,Undefined
1800006C, CAN message data register 034,M_DATA034,R/W,,x,,Undefined
1800006D, CAN message data register 035,M_DATA035,R/W,,x,,Undefined
1800006E, CAN message data register 036,M_DATA036,R/W,,x,,Undefined
1800006F, CAN message data register 037,M_DATA037,R/W,,x,,Undefined
18000070, CAN message ID register L03,M_IDL03,R/W,,,x,Undefined
18000072, CAN message ID register H03,M_IDH03,R/W,,,x,Undefined
18000074, CAN message configuration register 03,M_CONF03,R/W,,x,,Undefined
18000075, CAN message status register 03,M_STAT03,R,,x,,Undefined
18000076, CAN status set/cancel register 03,SC_STAT03,W,,,x,0000H
18000080, CAN message event pointer 040,M_EVT040,R/W,,x,,Undefined
18000081, CAN message event pointer 041,M_EVT041,R/W,,x,,Undefined
18000082, CAN message event pointer 042,M_EVT042,R/W,,x,,Undefined
18000083, CAN message event pointer 043,M_EVT043,R/W,,x,,Undefined
18000084, CAN message data length register 04,M_DLC04,R/W,,x,,Undefined
18000085, CAN message control register 04,M_CTRL04,R/W,,x,,Undefined
18000086, CAN message time stamp register 04,M_TIME04,R/W,,,x,Undefined
18000088, CAN message data register 040,M_DATA040,R/W,,x,,Undefined
18000089, CAN message data register 041,M_DATA041,R/W,,x,,Undefined
1800008A, CAN message data register 042,M_DATA042,R/W,,x,,Undefined
1800008B, CAN message data register 043,M_DATA043,R/W,,x,,Undefined
1800008C, CAN message data register 044,M_DATA044,R/W,,x,,Undefined
1800008D, CAN message data register 045,M_DATA045,R/W,,x,,Undefined
1800008E, CAN message data register 046,M_DATA046,R/W,,x,,Undefined
1800008F, CAN message data register 047,M_DATA047,R/W,,x,,Undefined
18000090, CAN message ID register L04,M_IDL04,R/W,,,x,Undefined
18000092, CAN message ID register H04,M_IDH04,R/W,,,x,Undefined
18000094, CAN message configuration register 04,M_CONF04,R/W,,x,,Undefined
18000095, CAN message status register 04,M_STAT04,R,,x,,Undefined
18000096, CAN status set/cancel register 04,M_STAT04,W,,,x,0000H
180000A0, CAN message event pointer 050,M_EVT050,R/W,,x,,Undefined
180000A1, CAN message event pointer 051,M_EVT051,R/W,,x,,Undefined
180000A2, CAN message event pointer 052,M_EVT052,R/W,,x,,Undefined
180000A3, CAN message event pointer 053,M_EVT053,R/W,,x,,Undefined
180000A4, CAN message data length register 05,M_DLC05,R/W,,x,,Undefined
180000A5, CAN message control register 05,M_DTRL05,R/W,,x,,Undefined
180000A6, CAN message time stamp register 05,M_TIME05,R/W,,,x,Undefined
180000A8, CAN message data register 050,M_DATA050,R/W,,x,,Undefined
180000A9, CAN message data register 051,M_DATA051,R/W,,x,,Undefined
180000AA, CAN message data register 052,M_DATA052,R/W,,x,,Undefined
180000AB, CAN message data register 053,M_DATA053,R/W,,x,,Undefined
180000AC, CAN message data register 054,M_DATA054,R/W,,x,,Undefined
180000AD, CAN message data register 055,M_DATA055,R/W,,x,,Undefined
180000AE, CAN message data register 056,M_DATA056,R/W,,x,,Undefined
180000AF, CAN message data register 057,M_DATA057,R/W,,x,,Undefined
180000B0, CAN message ID register L05,M_IDL05,R/W,,,x,Undefined
180000B2, CAN message ID register H05,M_IDH05,R/W,,,x,Undefined
180000B4, CAN message configuration register 05,M_CONF05,R/W,,x,,Undefined
180000B5, CAN message status register 05,M_STAT05,R,,x,,Undefined
180000B6, CAN status set/cancel register 05,SC_STAT05,W,,,x,0000H
180000C0, CAN message event pointer 060,M_EVT060,R/W,,x,,Undefined
180000C1, CAN message event pointer 061,M_EVT061,R/W,,x,,Undefined
180000C2, CAN message event pointer 062,M_EVT062,R/W,,x,,Undefined
180000C3, CAN message event pointer 063,M_EVT063,R/W,,x,,Undefined
180000C4, CAN message data length register 06,M_DLC06,R/W,,x,,Undefined
180000C5, CAN message control register 06,M_DTRL06,R/W,,x,,Undefined
180000C6, CAN message time stamp register 06,M_TIME06,R/W,,,x,Undefined
180000C8, CAN message data register 060,M_DATA060,R/W,,x,,Undefined
180000C9, CAN message data register 061,M_DATA061,R/W,,x,,Undefined
180000CA, CAN message data register 062,M_DATA062,R/W,,x,,Undefined
180000CB, CAN message data register 063,M_DATA063,R/W,,x,,Undefined
180000CC, CAN message data register 064,M_DATA064,R/W,,x,,Undefined
180000CD, CAN message data register 065,M_DATA065,R/W,,x,,Undefined
180000CE, CAN message data register 066,M_DATA066,R/W,,x,,Undefined
180000CF, CAN message data register 067,M_DATA067,R/W,,x,,Undefined
180000D0, CAN message ID register L06,M_IDL06,R/W,,,x,Undefined
180000D2, CAN message ID register H06,M_IDH06,R/W,,,x,Undefined
180000D4, CAN message configuration register 06,M_CONF06,R/W,,x,,Undefined
180000D5, CAN message status register 06,M_STAT06,R,,x,,Undefined
180000D6, CAN status set/cancel register 06,SC_STAT06,W,,,x,0000H
180000E0, CAN message event pointer 070,M_EVT070,R/W,,x,,Undefined
180000E1, CAN message event pointer 071,M_EVT071,R/W,,x,,Undefined
180000E2, CAN message event pointer 072,M_EVT072,R/W,,x,,Undefined
180000E3, CAN message event pointer 073,M_EVT073,R/W,,x,,Undefined
180000E4, CAN message data length register 07,M_DLC07,R/W,,x,,Undefined
180000E5, CAN message control register 07,M_CTRL07,R/W,,x,,Undefined
180000E6, CAN message time stamp register 07,M_TIME07,R/W,,,x,Undefined
180000E8, CAN message data register 070,M_DATA070,R/W,,x,,Undefined
180000E9, CAN message data register 071,M_DATA071,R/W,,x,,Undefined
180000EA, CAN message data register 072,M_DATA072,R/W,,x,,Undefined
180000EB, CAN message data register 073,M_DATA073,R/W,,x,,Undefined
180000EC, CAN message data register 074,M_DATA074,R/W,,x,,Undefined
180000ED, CAN message data register 075,M_DATA075,R/W,,x,,Undefined
180000EE, CAN message data register 076,M_DATA076,R/W,,x,,Undefined
180000EF, CAN message data register 077,M_DATA077,R/W,,x,,Undefined
180000F0, CAN message ID register L07,M_IDL07,R/W,,,x,Undefined
180000F2, CAN message ID register H07,M_IDH07,R/W,,,x,Undefined
180000F4, CAN message configuration register 07,M_CONF07,R/W,,x,,Undefined
180000F5, CAN message status register 07,M_STAT07,R,,x,,Undefined
180000F6, CAN status set/cancel register 07,SC_STAT07,W,,,x,0000H
18000100, CAN message event pointer 080,M_EVT080,R/W,,x,,Undefined
18000101, CAN message event pointer 081,M_EVT081,R/W,,x,,Undefined
18000102, CAN message event pointer 082,M_EVT082,R/W,,x,,Undefined
18000103, CAN message event pointer 083,M_EVT083,R/W,,x,,Undefined
18000104, CAN message data length register 08,M_DLC08,R/W,,x,,Undefined
18000105, CAN message control register 08,M_CTRL08,R/W,,x,,Undefined
18000106, CAN message time stamp register 08,M_TIME08,R/W,,,x,Undefined
18000108, CAN message data register 080,M_DATA080,R/W,,x,,Undefined
18000109, CAN message data register 081,M_DATA081,R/W,,x,,Undefined
1800010A, CAN message data register 082,M_DATA082,R/W,,x,,Undefined
1800010B, CAN message data register 083,M_DATA083,R/W,,x,,Undefined
1800010C, CAN message data register 084,M_DATA084,R/W,,x,,Undefined
1800010D, CAN message data register 085,M_DATA085,R/W,,x,,Undefined
1800010E, CAN message data register 086,M_DATA086,R/W,,x,,Undefined
1800010F, CAN message data register 087,M_DATA087,R/W,,x,,Undefined
18000110, CAN message ID register L08,M_IDL08,R/W,,,x,Undefined
18000112, CAN message ID register H08,M_IDH08,R/W,,,x,Undefined
18000114, CAN message configuration register 08,M_CONF08,R/W,,x,,Undefined
18000115, CAN message status register 08,M_STAT08,R,,x,,Undefined
18000116, CAN status set/cancel register 08,SC_STAT08,W,,,x,0000H
18000120, CAN message event pointer 090,M_EVT090,R/W,,x,,Undefined
18000121, CAN message event pointer 091,M_EVT091,R/W,,x,,Undefined
18000122, CAN message event pointer 092,M_EVT092,R/W,,x,,Undefined
18000123, CAN message event pointer 093,M_EVT093,R/W,,x,,Undefined
18000124, CAN message data length register 09,M_DLC09,R/W,,x,,Undefined
18000125, CAN message control register 09,M_CTRL09,R/W,,x,,Undefined
18000126, CAN message time stamp register 09,M_TIME09,R/W,,,x,Undefined
18000128, CAN message data register 090,M_DATA090,R/W,,x,,Undefined
18000129, CAN message data register 091,M_DATA091,R/W,,x,,Undefined
1800012A, CAN message data register 092,M_DATA092,R/W,,x,,Undefined
1800012B, CAN message data register 093,M_DATA093,R/W,,x,,Undefined
1800012C, CAN message data register 094,M_DATA094,R/W,,x,,Undefined
1800012D, CAN message data register 095,M_DATA095,R/W,,x,,Undefined
1800012E, CAN message data register 096,M_DATA096,R/W,,x,,Undefined
1800012F, CAN message data register 097,M_DATA097,R/W,,x,,Undefined
18000130, CAN message ID register L09,M_IDL09,R/W,,,x,Undefined
18000132, CAN message ID register H09,M_IDH09,R/W,,,x,Undefined
18000134, CAN message configuration register 09,M_CONF09,R/W,,x,,Undefined
18000135, CAN message status register 09,M_STAT09,R,,x,,Undefined
18000136, CAN status set/cancel register 09,SC_STAT09,W,,,x,0000H
18000140, CAN message event pointer 100,M_EVT100,R/W,,x,,Undefined
18000141, CAN message event pointer 101,M_EVT101,R/W,,x,,Undefined
18000142, CAN message event pointer 102,M_EVT102,R/W,,x,,Undefined
18000143, CAN message event pointer103,M_EVT103,R/W,,x,,Undefined
18000144, CAN message data length register 10,M_DLC10,R/W,,x,,Undefined
18000145, CAN message control register 10,M_CTRL10,R/W,,x,,Undefined
18000146, CAN message time stamp register 10,M_TIME10,R/W,,,x,Undefined
18000148, CAN message data register 100,M_DATA100,R/W,,x,,Undefined
18000149, CAN message data register 101,M_DATA101,R/W,,x,,Undefined
1800014A, CAN message data register 102,M_DATA102,R/W,,x,,Undefined
1800014B, CAN message data register 103,M_DATA103,R/W,,x,,Undefined
1800014C, CAN message data register 104,M_DATA104,R/W,,x,,Undefined
1800014D, CAN message data register 105,M_DATA105,R/W,,x,,Undefined
1800014E, CAN message data register 106,M_DATA106,R/W,,x,,Undefined
